round,example_id,correct,pred,gold,section
1,hearsay_test_81,True,No,No,
1,hearsay_test_87,True,No,No,
1,hearsay_test_61,True,Yes,Yes,
1,hearsay_test_12,True,No,No,
1,hearsay_test_73,True,Yes,Yes,
1,hearsay_test_17,True,No,No,
1,hearsay_test_19,False,Yes,No,context
1,hearsay_test_36,True,Yes,Yes,
1,hearsay_test_71,True,Yes,Yes,
1,hearsay_test_16,True,No,No,
1,hearsay_test_6,True,No,No,
1,hearsay_train_2,False,Yes,No,context
1,hearsay_test_13,True,No,No,
1,hearsay_train_0,True,No,No,
1,hearsay_test_44,False,No,Yes,constraints
1,hearsay_test_93,True,Yes,Yes,
1,hearsay_test_67,True,Yes,Yes,
1,hearsay_test_18,True,No,No,
1,hearsay_test_72,True,No,No,
1,hearsay_test_49,True,Yes,Yes,
1,hearsay_test_58,True,Yes,Yes,
1,hearsay_test_24,True,No,No,
1,hearsay_train_1,True,Yes,Yes,
1,hearsay_test_51,True,Yes,Yes,
1,hearsay_test_70,False,No,Yes,constraints
2,hearsay_test_81,True,No,No,
2,hearsay_test_87,False,Yes,No,context
2,hearsay_test_61,True,Yes,Yes,
2,hearsay_test_12,True,No,No,
2,hearsay_test_73,True,Yes,Yes,
2,hearsay_test_17,True,No,No,
2,hearsay_test_19,False,Yes,No,context
2,hearsay_test_36,True,Yes,Yes,
2,hearsay_test_71,True,Yes,Yes,
2,hearsay_test_16,True,No,No,
2,hearsay_test_6,True,No,No,
2,hearsay_train_2,False,Yes,No,task_details
2,hearsay_test_13,True,No,No,
2,hearsay_train_0,True,No,No,
2,hearsay_test_44,False,No,Yes,constraints
2,hearsay_test_93,True,Yes,Yes,
2,hearsay_test_67,True,Yes,Yes,
2,hearsay_test_18,True,No,No,
2,hearsay_test_72,True,No,No,
2,hearsay_test_49,True,Yes,Yes,
2,hearsay_test_58,True,Yes,Yes,
2,hearsay_test_24,True,No,No,
2,hearsay_train_1,True,Yes,Yes,
2,hearsay_test_51,True,Yes,Yes,
2,hearsay_test_70,False,No,Yes,constraints
3,hearsay_test_81,True,No,No,
3,hearsay_test_87,False,Yes,No,context
3,hearsay_test_61,True,Yes,Yes,
3,hearsay_test_12,True,No,No,
3,hearsay_test_73,True,Yes,Yes,
3,hearsay_test_17,True,No,No,
3,hearsay_test_19,False,Yes,No,context
3,hearsay_test_36,True,Yes,Yes,
3,hearsay_test_71,True,Yes,Yes,
3,hearsay_test_16,True,No,No,
3,hearsay_test_6,True,No,No,
3,hearsay_train_2,False,Yes,No,context
3,hearsay_test_13,True,No,No,
3,hearsay_train_0,True,No,No,
3,hearsay_test_44,False,No,Yes,constraints
3,hearsay_test_93,True,Yes,Yes,
3,hearsay_test_67,True,Yes,Yes,
3,hearsay_test_18,True,No,No,
3,hearsay_test_72,True,No,No,
3,hearsay_test_49,True,Yes,Yes,
3,hearsay_test_58,True,Yes,Yes,
3,hearsay_test_24,True,No,No,
3,hearsay_train_1,True,Yes,Yes,
3,hearsay_test_51,True,Yes,Yes,
3,hearsay_test_70,False,No,Yes,constraints
4,hearsay_test_81,True,No,No,
4,hearsay_test_87,False,Yes,No,context
4,hearsay_test_61,True,Yes,Yes,
4,hearsay_test_12,True,No,No,
4,hearsay_test_73,True,Yes,Yes,
4,hearsay_test_17,True,No,No,
4,hearsay_test_19,False,Yes,No,context
4,hearsay_test_36,True,Yes,Yes,
4,hearsay_test_71,True,Yes,Yes,
4,hearsay_test_16,True,No,No,
4,hearsay_test_6,True,No,No,
4,hearsay_train_2,False,Yes,No,context
4,hearsay_test_13,True,No,No,
4,hearsay_train_0,True,No,No,
4,hearsay_test_44,False,No,Yes,constraints
4,hearsay_test_93,True,Yes,Yes,
4,hearsay_test_67,True,Yes,Yes,
4,hearsay_test_18,True,No,No,
4,hearsay_test_72,True,No,No,
4,hearsay_test_49,True,Yes,Yes,
4,hearsay_test_58,True,Yes,Yes,
4,hearsay_test_24,True,No,No,
4,hearsay_train_1,True,Yes,Yes,
4,hearsay_test_51,True,Yes,Yes,
4,hearsay_test_70,False,No,Yes,constraints
5,hearsay_test_81,True,No,No,
5,hearsay_test_87,True,No,No,
5,hearsay_test_61,True,Yes,Yes,
5,hearsay_test_12,True,No,No,
5,hearsay_test_73,True,Yes,Yes,
5,hearsay_test_17,True,No,No,
5,hearsay_test_19,True,No,No,
5,hearsay_test_36,True,Yes,Yes,
5,hearsay_test_71,True,Yes,Yes,
5,hearsay_test_16,True,No,No,
5,hearsay_test_6,True,No,No,
5,hearsay_train_2,False,Yes,No,constraints
5,hearsay_test_13,True,No,No,
5,hearsay_train_0,False,Yes,No,context
5,hearsay_test_44,True,Yes,Yes,
5,hearsay_test_93,True,Yes,Yes,
5,hearsay_test_67,True,Yes,Yes,
5,hearsay_test_18,True,No,No,
5,hearsay_test_72,True,No,No,
5,hearsay_test_49,True,Yes,Yes,
5,hearsay_test_58,True,Yes,Yes,
5,hearsay_test_24,False,Yes,No,context
5,hearsay_train_1,True,Yes,Yes,
5,hearsay_test_51,True,Yes,Yes,
5,hearsay_test_70,False,No,Yes,constraints
