round,example_id,correct,pred,gold,section
1,hearsay_test_57,True,Yes,Yes,
1,hearsay_test_27,True,No,No,
1,hearsay_test_46,True,Yes,Yes,
1,hearsay_test_79,False,Yes,No,context
1,hearsay_test_11,True,No,No,
1,hearsay_test_67,True,Yes,Yes,
1,hearsay_test_34,True,Yes,Yes,
1,hearsay_test_3,True,No,No,
1,hearsay_train_3,True,No,No,
1,hearsay_test_41,True,Yes,Yes,
1,hearsay_test_20,True,No,No,
1,hearsay_test_48,True,Yes,Yes,
1,hearsay_test_35,True,Yes,Yes,
1,hearsay_test_18,True,No,No,
1,hearsay_test_0,True,No,No,
1,hearsay_test_64,False,No,Yes,constraints
1,hearsay_test_85,False,Yes,No,context
1,hearsay_test_42,True,Yes,Yes,
1,hearsay_test_14,True,No,No,
1,hearsay_test_49,True,Yes,Yes,
1,hearsay_test_65,False,No,Yes,task_details
1,hearsay_test_71,True,Yes,Yes,
1,hearsay_test_21,True,No,No,
1,hearsay_train_2,False,Yes,No,constraints
1,hearsay_test_47,False,Yes,No,constraints
2,hearsay_test_57,True,Yes,Yes,
2,hearsay_test_27,False,Yes,No,constraints
2,hearsay_test_46,True,Yes,Yes,
2,hearsay_test_79,False,Yes,No,constraints
2,hearsay_test_11,True,No,No,
2,hearsay_test_67,True,Yes,Yes,
2,hearsay_test_34,True,Yes,Yes,
2,hearsay_test_3,True,No,No,
2,hearsay_train_3,True,No,No,
2,hearsay_test_41,True,Yes,Yes,
2,hearsay_test_20,True,No,No,
2,hearsay_test_48,True,Yes,Yes,
2,hearsay_test_35,True,Yes,Yes,
2,hearsay_test_18,True,No,No,
2,hearsay_test_0,True,No,No,
2,hearsay_test_64,False,No,Yes,constraints
2,hearsay_test_85,False,Yes,No,constraints
2,hearsay_test_42,True,Yes,Yes,
2,hearsay_test_14,True,No,No,
2,hearsay_test_49,True,Yes,Yes,
2,hearsay_test_65,False,No,Yes,constraints
2,hearsay_test_71,True,Yes,Yes,
2,hearsay_test_21,False,Yes,No,context
2,hearsay_train_2,False,Yes,No,constraints
2,hearsay_test_47,False,Yes,No,constraints
3,hearsay_test_57,True,Yes,Yes,
3,hearsay_test_27,False,Yes,No,constraints
3,hearsay_test_46,True,Yes,Yes,
3,hearsay_test_79,False,Yes,No,constraints
3,hearsay_test_11,True,No,No,
3,hearsay_test_67,True,Yes,Yes,
3,hearsay_test_34,True,Yes,Yes,
3,hearsay_test_3,True,No,No,
3,hearsay_train_3,True,No,No,
3,hearsay_test_41,True,Yes,Yes,
3,hearsay_test_20,True,No,No,
3,hearsay_test_48,True,Yes,Yes,
3,hearsay_test_35,True,Yes,Yes,
3,hearsay_test_18,True,No,No,
3,hearsay_test_0,True,No,No,
3,hearsay_test_64,False,No,Yes,constraints
3,hearsay_test_85,False,Yes,No,constraints
3,hearsay_test_42,True,Yes,Yes,
3,hearsay_test_14,True,No,No,
3,hearsay_test_49,True,Yes,Yes,
3,hearsay_test_65,False,No,Yes,constraints
3,hearsay_test_71,True,Yes,Yes,
3,hearsay_test_21,True,No,No,
3,hearsay_train_2,False,Yes,No,constraints
3,hearsay_test_47,False,Yes,No,constraints
4,hearsay_test_57,True,Yes,Yes,
4,hearsay_test_27,False,Yes,No,constraints
4,hearsay_test_46,True,Yes,Yes,
4,hearsay_test_79,False,Yes,No,constraints
4,hearsay_test_11,True,No,No,
4,hearsay_test_67,True,Yes,Yes,
4,hearsay_test_34,True,Yes,Yes,
4,hearsay_test_3,True,No,No,
4,hearsay_train_3,True,No,No,
4,hearsay_test_41,True,Yes,Yes,
4,hearsay_test_20,True,No,No,
4,hearsay_test_48,True,Yes,Yes,
4,hearsay_test_35,True,Yes,Yes,
4,hearsay_test_18,True,No,No,
4,hearsay_test_0,True,No,No,
4,hearsay_test_64,False,No,Yes,constraints
4,hearsay_test_85,False,Yes,No,constraints
4,hearsay_test_42,True,Yes,Yes,
4,hearsay_test_14,True,No,No,
4,hearsay_test_49,True,Yes,Yes,
4,hearsay_test_65,False,No,Yes,constraints
4,hearsay_test_71,True,Yes,Yes,
4,hearsay_test_21,True,No,No,
4,hearsay_train_2,False,Yes,No,constraints
4,hearsay_test_47,False,Yes,No,constraints
5,hearsay_test_57,True,Yes,Yes,
5,hearsay_test_27,False,Yes,No,constraints
5,hearsay_test_46,True,Yes,Yes,
5,hearsay_test_79,False,Yes,No,constraints
5,hearsay_test_11,True,No,No,
5,hearsay_test_67,True,Yes,Yes,
5,hearsay_test_34,True,Yes,Yes,
5,hearsay_test_3,True,No,No,
5,hearsay_train_3,True,No,No,
5,hearsay_test_41,True,Yes,Yes,
5,hearsay_test_20,True,No,No,
5,hearsay_test_48,True,Yes,Yes,
5,hearsay_test_35,True,Yes,Yes,
5,hearsay_test_18,True,No,No,
5,hearsay_test_0,False,Yes,No,constraints
5,hearsay_test_64,True,Yes,Yes,
5,hearsay_test_85,False,Yes,No,constraints
5,hearsay_test_42,True,Yes,Yes,
5,hearsay_test_14,True,No,No,
5,hearsay_test_49,True,Yes,Yes,
5,hearsay_test_65,True,Yes,Yes,
5,hearsay_test_71,True,Yes,Yes,
5,hearsay_test_21,False,Yes,No,task_details
5,hearsay_train_2,True,No,No,
5,hearsay_test_47,False,Yes,No,constraints
