round,example_id,correct,pred,gold,section
1,hearsay_test_5,True,No,No,
1,hearsay_test_14,True,No,No,
1,hearsay_test_49,True,Yes,Yes,
1,hearsay_test_39,False,No,Yes,constraints
1,hearsay_test_22,True,No,No,
1,hearsay_test_18,True,No,No,
1,hearsay_test_59,True,Yes,Yes,
1,hearsay_test_41,True,Yes,Yes,
1,hearsay_test_42,True,Yes,Yes,
1,hearsay_test_86,False,Yes,No,context
1,hearsay_test_50,True,Yes,Yes,
1,hearsay_train_2,False,Yes,No,context
1,hearsay_test_20,True,No,No,
1,hearsay_test_46,True,Yes,Yes,
1,hearsay_test_48,True,Yes,Yes,
1,hearsay_test_0,True,No,No,
1,hearsay_test_61,True,Yes,Yes,
1,hearsay_test_47,False,Yes,No,constraints
1,hearsay_test_7,True,No,No,
1,hearsay_test_84,True,Yes,Yes,
1,hearsay_test_88,True,No,No,
1,hearsay_test_35,True,Yes,Yes,
1,hearsay_test_64,False,No,Yes,constraints
1,hearsay_test_31,False,Yes,No,context
1,hearsay_test_65,False,No,Yes,context
2,hearsay_test_5,True,No,No,
2,hearsay_test_14,True,No,No,
2,hearsay_test_49,True,Yes,Yes,
2,hearsay_test_39,False,No,Yes,constraints
2,hearsay_test_22,True,No,No,
2,hearsay_test_18,True,No,No,
2,hearsay_test_59,True,Yes,Yes,
2,hearsay_test_41,True,Yes,Yes,
2,hearsay_test_42,True,Yes,Yes,
2,hearsay_test_86,False,Yes,No,context
2,hearsay_test_50,True,Yes,Yes,
2,hearsay_train_2,False,Yes,No,context
2,hearsay_test_20,True,No,No,
2,hearsay_test_46,True,Yes,Yes,
2,hearsay_test_48,True,Yes,Yes,
2,hearsay_test_0,True,No,No,
2,hearsay_test_61,True,Yes,Yes,
2,hearsay_test_47,False,Yes,No,context
2,hearsay_test_7,True,No,No,
2,hearsay_test_84,True,Yes,Yes,
2,hearsay_test_88,True,No,No,
2,hearsay_test_35,True,Yes,Yes,
2,hearsay_test_64,False,No,Yes,constraints
2,hearsay_test_31,False,Yes,No,context
2,hearsay_test_65,False,No,Yes,context
3,hearsay_test_5,True,No,No,
3,hearsay_test_14,True,No,No,
3,hearsay_test_49,True,Yes,Yes,
3,hearsay_test_39,False,No,Yes,constraints
3,hearsay_test_22,True,No,No,
3,hearsay_test_18,True,No,No,
3,hearsay_test_59,True,Yes,Yes,
3,hearsay_test_41,True,Yes,Yes,
3,hearsay_test_42,True,Yes,Yes,
3,hearsay_test_86,False,Yes,No,constraints
3,hearsay_test_50,True,Yes,Yes,
3,hearsay_train_2,False,Yes,No,constraints
3,hearsay_test_20,True,No,No,
3,hearsay_test_46,True,Yes,Yes,
3,hearsay_test_48,True,Yes,Yes,
3,hearsay_test_0,True,No,No,
3,hearsay_test_61,True,Yes,Yes,
3,hearsay_test_47,True,No,No,
3,hearsay_test_7,True,No,No,
3,hearsay_test_84,False,No,Yes,constraints
3,hearsay_test_88,True,No,No,
3,hearsay_test_35,True,Yes,Yes,
3,hearsay_test_64,True,Yes,Yes,
3,hearsay_test_31,True,No,No,
3,hearsay_test_65,False,No,Yes,context
4,hearsay_test_5,True,No,No,
4,hearsay_test_14,True,No,No,
4,hearsay_test_49,True,Yes,Yes,
4,hearsay_test_39,False,No,Yes,constraints
4,hearsay_test_22,True,No,No,
4,hearsay_test_18,True,No,No,
4,hearsay_test_59,True,Yes,Yes,
4,hearsay_test_41,True,Yes,Yes,
4,hearsay_test_42,True,Yes,Yes,
4,hearsay_test_86,False,Yes,No,constraints
4,hearsay_test_50,True,Yes,Yes,
4,hearsay_train_2,True,No,No,
4,hearsay_test_20,True,No,No,
4,hearsay_test_46,True,Yes,Yes,
4,hearsay_test_48,True,Yes,Yes,
4,hearsay_test_0,True,No,No,
4,hearsay_test_61,True,Yes,Yes,
4,hearsay_test_47,False,Yes,No,constraints
4,hearsay_test_7,True,No,No,
4,hearsay_test_84,True,Yes,Yes,
4,hearsay_test_88,True,No,No,
4,hearsay_test_35,True,Yes,Yes,
4,hearsay_test_64,False,No,Yes,constraints
4,hearsay_test_31,True,No,No,
4,hearsay_test_65,False,No,Yes,context
5,hearsay_test_5,True,No,No,
5,hearsay_test_14,True,No,No,
5,hearsay_test_49,True,Yes,Yes,
5,hearsay_test_39,False,No,Yes,constraints
5,hearsay_test_22,True,No,No,
5,hearsay_test_18,True,No,No,
5,hearsay_test_59,True,Yes,Yes,
5,hearsay_test_41,True,Yes,Yes,
5,hearsay_test_42,True,Yes,Yes,
5,hearsay_test_86,False,Yes,No,constraints
5,hearsay_test_50,True,Yes,Yes,
5,hearsay_train_2,True,No,No,
5,hearsay_test_20,True,No,No,
5,hearsay_test_46,True,Yes,Yes,
5,hearsay_test_48,True,Yes,Yes,
5,hearsay_test_0,True,No,No,
5,hearsay_test_61,True,Yes,Yes,
5,hearsay_test_47,False,Yes,No,constraints
5,hearsay_test_7,True,No,No,
5,hearsay_test_84,True,Yes,Yes,
5,hearsay_test_88,True,No,No,
5,hearsay_test_35,True,Yes,Yes,
5,hearsay_test_64,True,Yes,Yes,
5,hearsay_test_31,True,No,No,
5,hearsay_test_65,False,No,Yes,context
