role,model,prompt_tokens,completion_tokens,cost_usd,purpose
solver,gpt-4o-mini-2024-07-18,120,146,0.00010559999999999999,eval
solver,gpt-4o-mini-2024-07-18,125,171,0.00012135,eval
solver,gpt-4o-mini-2024-07-18,133,252,0.00017114999999999999,eval
solver,gpt-4o-mini-2024-07-18,169,173,0.00012915,eval
solver,gpt-4o-mini-2024-07-18,131,380,0.00024765000000000003,eval
solver,gpt-4o-mini-2024-07-18,177,393,0.00026234999999999995,eval
solver,gpt-4o-mini-2024-07-18,177,438,0.00028935,eval
solver,gpt-4o-mini-2024-07-18,129,357,0.00023354999999999998,eval
solver,gpt-4o-mini-2024-07-18,130,182,0.00012869999999999998,eval
solver,gpt-4o-mini-2024-07-18,132,193,0.0001356,eval
solver,gpt-4o-mini-2024-07-18,128,168,0.00012,eval
solver,gpt-4o-mini-2024-07-18,144,287,0.0001938,eval
solver,gpt-4o-mini-2024-07-18,126,155,0.00011190000000000001,eval
solver,gpt-4o-mini-2024-07-18,184,248,0.00017639999999999998,eval
solver,gpt-4o-mini-2024-07-18,160,326,0.0002196,eval
solver,gpt-4o-mini-2024-07-18,165,269,0.00018615,eval
solver,gpt-4o-mini-2024-07-18,168,215,0.00015419999999999998,eval
solver,gpt-4o-mini-2024-07-18,133,233,0.00015974999999999998,eval
solver,gpt-4o-mini-2024-07-18,154,262,0.0001803,eval
solver,gpt-4o-mini-2024-07-18,138,234,0.00016109999999999999,eval
solver,gpt-4o-mini-2024-07-18,127,150,0.00010905,eval
solver,gpt-4o-mini-2024-07-18,143,143,0.00010725,eval
solver,gpt-4o-mini-2024-07-18,162,205,0.0001473,eval
solver,gpt-4o-mini-2024-07-18,138,257,0.00017489999999999997,eval
solver,gpt-4o-mini-2024-07-18,169,148,0.00011415,eval
solver,gpt-4o-mini-2024-07-18,153,266,0.00018255,eval
solver,gpt-4o-mini-2024-07-18,113,211,0.00014355,eval
solver,gpt-4o-mini-2024-07-18,159,297,0.00020204999999999998,eval
solver,gpt-4o-mini-2024-07-18,136,254,0.0001728,eval
solver,gpt-4o-mini-2024-07-18,151,215,0.00015165,eval
solver,gpt-4o-mini-2024-07-18,133,239,0.00016334999999999999,eval
solver,gpt-4o-mini-2024-07-18,133,141,0.00010455,eval
solver,gpt-4o-mini-2024-07-18,141,187,0.00013335,eval
solver,gpt-4o-mini-2024-07-18,207,432,0.00029025,eval
solver,gpt-4o-mini-2024-07-18,152,269,0.0001842,eval
solver,gpt-4o-mini-2024-07-18,149,352,0.00023354999999999998,eval
solver,gpt-4o-mini-2024-07-18,164,242,0.00016979999999999998,eval
solver,gpt-4o-mini-2024-07-18,146,172,0.0001251,eval
solver,gpt-4o-mini-2024-07-18,121,249,0.00016755,eval
solver,gpt-4o-mini-2024-07-18,151,276,0.00018825,eval
solver,gpt-4o-mini-2024-07-18,146,253,0.0001737,eval
solver,gpt-4o-mini-2024-07-18,126,188,0.00013169999999999998,eval
solver,gpt-4o-mini-2024-07-18,134,170,0.00012209999999999999,eval
solver,gpt-4o-mini-2024-07-18,122,267,0.0001785,eval
solver,gpt-4o-mini-2024-07-18,182,278,0.0001941,eval
solver,gpt-4o-mini-2024-07-18,142,179,0.00012869999999999998,eval
solver,gpt-4o-mini-2024-07-18,114,103,7.89e-05,eval
solver,gpt-4o-mini-2024-07-18,149,366,0.00024195,eval
solver,gpt-4o-mini-2024-07-18,165,349,0.00023415,eval
solver,gpt-4o-mini-2024-07-18,135,314,0.00020865,eval
solver,gpt-4o-mini-2024-07-18,132,494,0.0003162,eval
solver,gpt-4o-mini-2024-07-18,110,64,5.49e-05,eval
solver,gpt-4o-mini-2024-07-18,160,522,0.0003372,eval
solver,gpt-4o-mini-2024-07-18,147,239,0.00016545,eval
solver,gpt-4o-mini-2024-07-18,165,286,0.00019635,eval
solver,gpt-4o-mini-2024-07-18,157,185,0.00013455000000000002,eval
solver,gpt-4o-mini-2024-07-18,159,224,0.00015825,eval
solver,gpt-4o-mini-2024-07-18,129,249,0.00016875,eval
solver,gpt-4o-mini-2024-07-18,169,380,0.00025335,eval
solver,gpt-4o-mini-2024-07-18,129,237,0.00016154999999999997,eval
solver,gpt-4o-mini-2024-07-18,200,274,0.0001944,eval
solver,gpt-4o-mini-2024-07-18,176,314,0.00021480000000000002,eval
solver,gpt-4o-mini-2024-07-18,150,397,0.0002607,eval
solver,gpt-4o-mini-2024-07-18,123,157,0.00011265,eval
solver,gpt-4o-mini-2024-07-18,129,549,0.00034875,eval
solver,gpt-4o-mini-2024-07-18,141,265,0.00018015000000000001,eval
solver,gpt-4o-mini-2024-07-18,148,240,0.0001662,eval
solver,gpt-4o-mini-2024-07-18,155,232,0.00016245,eval
solver,gpt-4o-mini-2024-07-18,152,285,0.00019380000000000002,eval
solver,gpt-4o-mini-2024-07-18,133,131,9.855e-05,eval
solver,gpt-4o-mini-2024-07-18,191,397,0.00026684999999999995,eval
solver,gpt-4o-mini-2024-07-18,125,273,0.00018255,eval
solver,gpt-4o-mini-2024-07-18,148,261,0.00017879999999999998,eval
solver,gpt-4o-mini-2024-07-18,142,260,0.0001773,eval
solver,gpt-4o-mini-2024-07-18,189,374,0.00025275,eval
solver,gpt-4o-mini-2024-07-18,167,233,0.00016485,eval
solver,gpt-4o-mini-2024-07-18,121,158,0.00011295,eval
solver,gpt-4o-mini-2024-07-18,139,133,0.00010065,eval
solver,gpt-4o-mini-2024-07-18,144,218,0.00015239999999999996,eval
solver,gpt-4o-mini-2024-07-18,121,144,0.00010454999999999998,eval
solver,gpt-4o-mini-2024-07-18,129,181,0.00012795,eval
solver,gpt-4o-mini-2024-07-18,159,440,0.00028785000000000003,eval
solver,gpt-4o-mini-2024-07-18,142,246,0.0001689,eval
solver,gpt-4o-mini-2024-07-18,155,288,0.00019605,eval
solver,gpt-4o-mini-2024-07-18,164,259,0.00018,eval
solver,gpt-4o-mini-2024-07-18,149,398,0.00026115,eval
solver,gpt-4o-mini-2024-07-18,153,384,0.00025334999999999995,eval
solver,gpt-4o-mini-2024-07-18,115,270,0.00017925,eval
solver,gpt-4o-mini-2024-07-18,136,312,0.0002076,eval
solver,gpt-4o-mini-2024-07-18,120,284,0.0001884,eval
solver,gpt-4o-mini-2024-07-18,127,154,0.00011144999999999998,eval
solver,gpt-4o-mini-2024-07-18,132,334,0.0002202,eval
solver,gpt-4o-mini-2024-07-18,141,253,0.00017294999999999998,eval
solver,gpt-4o-mini-2024-07-18,124,259,0.000174,eval
solver,gpt-4o-mini-2024-07-18,157,429,0.00028094999999999997,eval
solver,gpt-4o-mini-2024-07-18,136,189,0.00013379999999999997,eval
solver,gpt-4o-mini-2024-07-18,172,264,0.0001842,eval
solver,gpt-4o-mini-2024-07-18,122,256,0.0001719,eval
solver,gpt-4o-mini-2024-07-18,118,176,0.0001233,eval
solver,gpt-4o-mini-2024-07-18,223,346,0.00024104999999999998,eval
solver,gpt-4o-mini-2024-07-18,122,143,0.0001041,simple:baseline
solver,gpt-4o-mini-2024-07-18,126,170,0.00012090000000000001,simple:baseline
solver,gpt-4o-mini-2024-07-18,130,171,0.00012209999999999999,simple:baseline
solver,gpt-4o-mini-2024-07-18,127,177,0.00012525,simple:baseline
solver,gpt-4o-mini-2024-07-18,132,198,0.00013859999999999998,simple:baseline
solver,gpt-4o-mini-2024-07-18,131,266,0.00017925,simple:baseline
solver,gpt-4o-mini-2024-07-18,111,76,6.225e-05,simple:baseline
solver,gpt-4o-mini-2024-07-18,158,285,0.0001947,simple:baseline
solver,gpt-4o-mini-2024-07-18,154,320,0.0002151,simple:baseline
solver,gpt-4o-mini-2024-07-18,141,126,9.675e-05,simple:baseline
solver,gpt-4o-mini-2024-07-18,132,151,0.00011039999999999999,simple:baseline
solver,gpt-4o-mini-2024-07-18,147,213,0.00014984999999999998,simple:baseline
solver,gpt-4o-mini-2024-07-18,140,237,0.00016319999999999998,simple:baseline
solver,gpt-4o-mini-2024-07-18,130,188,0.00013230000000000002,simple:baseline
solver,gpt-4o-mini-2024-07-18,149,382,0.00025154999999999996,simple:baseline
solver,gpt-4o-mini-2024-07-18,230,310,0.0002205,simple:baseline
solver,gpt-4o-mini-2024-07-18,122,162,0.0001155,simple:baseline
solver,gpt-4o-mini-2024-07-18,128,169,0.00012059999999999999,simple:baseline
solver,gpt-4o-mini-2024-07-18,149,358,0.00023714999999999996,simple:baseline
solver,gpt-4o-mini-2024-07-18,175,228,0.00016304999999999998,simple:baseline
solver,gpt-4o-mini-2024-07-18,165,145,0.00011175,simple:baseline
solver,gpt-4o-mini-2024-07-18,138,442,0.00028589999999999996,simple:baseline
solver,gpt-4o-mini-2024-07-18,159,94,8.025e-05,simple:baseline
solver,gpt-4o-mini-2024-07-18,160,241,0.0001686,simple:baseline
solver,gpt-4o-mini-2024-07-18,114,128,9.389999999999999e-05,simple:baseline
solver,gpt-4o-mini-2024-07-18,129,147,0.00010755,simple:baseline
solver,gpt-4o-mini-2024-07-18,129,160,0.00011535,simple:baseline
solver,gpt-4o-mini-2024-07-18,126,190,0.0001329,simple:baseline
solver,gpt-4o-mini-2024-07-18,166,280,0.0001929,simple:baseline
solver,gpt-4o-mini-2024-07-18,169,315,0.00021435,simple:baseline
solver,gpt-4o-mini-2024-07-18,132,243,0.0001656,simple:baseline
solver,gpt-4o-mini-2024-07-18,148,206,0.0001458,simple:baseline
