round,example_id,correct,pred,gold,section
1,hearsay_test_61,True,Yes,Yes,
1,hearsay_test_57,True,Yes,Yes,
1,hearsay_test_7,True,No,No,
1,hearsay_train_3,True,No,No,
1,hearsay_test_31,False,Yes,No,context
1,hearsay_test_11,True,No,No,
1,hearsay_test_18,True,No,No,
1,hearsay_test_42,True,Yes,Yes,
1,hearsay_train_2,False,Yes,No,constraints
1,hearsay_test_48,True,Yes,Yes,
1,hearsay_test_12,True,No,No,
1,hearsay_test_82,False,Yes,No,task_details
1,hearsay_test_85,False,Yes,No,constraints
1,hearsay_test_20,True,No,No,
1,hearsay_test_47,False,Yes,No,constraints
1,hearsay_test_67,True,Yes,Yes,
1,hearsay_test_22,True,No,No,
1,hearsay_test_46,True,Yes,Yes,
1,hearsay_test_3,True,No,No,
1,hearsay_test_49,True,Yes,Yes,
1,hearsay_test_84,True,Yes,Yes,
1,hearsay_test_39,False,No,Yes,constraints
1,hearsay_test_0,True,No,No,
1,hearsay_test_53,True,No,No,
1,hearsay_test_34,True,Yes,Yes,
2,hearsay_test_61,True,Yes,Yes,
2,hearsay_test_57,True,Yes,Yes,
2,hearsay_test_7,True,No,No,
2,hearsay_train_3,True,No,No,
2,hearsay_test_31,False,Yes,No,context
2,hearsay_test_11,True,No,No,
2,hearsay_test_18,True,No,No,
2,hearsay_test_42,True,Yes,Yes,
2,hearsay_train_2,False,Yes,No,constraints
2,hearsay_test_48,True,Yes,Yes,
2,hearsay_test_12,True,No,No,
2,hearsay_test_82,False,Yes,No,constraints
2,hearsay_test_85,False,Yes,No,constraints
2,hearsay_test_20,True,No,No,
2,hearsay_test_47,False,Yes,No,constraints
2,hearsay_test_67,True,Yes,Yes,
2,hearsay_test_22,True,No,No,
2,hearsay_test_46,True,Yes,Yes,
2,hearsay_test_3,True,No,No,
2,hearsay_test_49,True,Yes,Yes,
2,hearsay_test_84,False,No,Yes,constraints
2,hearsay_test_39,False,No,Yes,constraints
2,hearsay_test_0,False,Yes,No,constraints
2,hearsay_test_53,True,No,No,
2,hearsay_test_34,True,Yes,Yes,
3,hearsay_test_61,True,Yes,Yes,
3,hearsay_test_57,True,Yes,Yes,
3,hearsay_test_7,True,No,No,
3,hearsay_train_3,True,No,No,
3,hearsay_test_31,True,No,No,
3,hearsay_test_11,True,No,No,
3,hearsay_test_18,True,No,No,
3,hearsay_test_42,True,Yes,Yes,
3,hearsay_train_2,False,Yes,No,constraints
3,hearsay_test_48,True,Yes,Yes,
3,hearsay_test_12,True,No,No,
3,hearsay_test_82,False,Yes,No,constraints
3,hearsay_test_85,False,Yes,No,constraints
3,hearsay_test_20,True,No,No,
3,hearsay_test_47,False,Yes,No,constraints
3,hearsay_test_67,True,Yes,Yes,
3,hearsay_test_22,True,No,No,
3,hearsay_test_46,True,Yes,Yes,
3,hearsay_test_3,True,No,No,
3,hearsay_test_49,True,Yes,Yes,
3,hearsay_test_84,False,No,Yes,constraints
3,hearsay_test_39,False,No,Yes,constraints
3,hearsay_test_0,False,Yes,No,constraints
3,hearsay_test_53,True,No,No,
3,hearsay_test_34,True,Yes,Yes,
4,hearsay_test_61,True,Yes,Yes,
4,hearsay_test_57,True,Yes,Yes,
4,hearsay_test_7,True,No,No,
4,hearsay_train_3,True,No,No,
4,hearsay_test_31,True,No,No,
4,hearsay_test_11,True,No,No,
4,hearsay_test_18,True,No,No,
4,hearsay_test_42,True,Yes,Yes,
4,hearsay_train_2,False,Yes,No,constraints
4,hearsay_test_48,True,Yes,Yes,
4,hearsay_test_12,True,No,No,
4,hearsay_test_82,False,Yes,No,constraints
4,hearsay_test_85,False,Yes,No,constraints
4,hearsay_test_20,True,No,No,
4,hearsay_test_47,False,Yes,No,constraints
4,hearsay_test_67,True,Yes,Yes,
4,hearsay_test_22,True,No,No,
4,hearsay_test_46,True,Yes,Yes,
4,hearsay_test_3,True,No,No,
4,hearsay_test_49,True,Yes,Yes,
4,hearsay_test_84,False,No,Yes,constraints
4,hearsay_test_39,False,No,Yes,constraints
4,hearsay_test_0,False,Yes,No,constraints
4,hearsay_test_53,True,No,No,
4,hearsay_test_34,True,Yes,Yes,
5,hearsay_test_61,True,Yes,Yes,
5,hearsay_test_57,True,Yes,Yes,
5,hearsay_test_7,True,No,No,
5,hearsay_train_3,True,No,No,
5,hearsay_test_31,True,No,No,
5,hearsay_test_11,True,No,No,
5,hearsay_test_18,True,No,No,
5,hearsay_test_42,True,Yes,Yes,
5,hearsay_train_2,False,Yes,No,constraints
5,hearsay_test_48,True,Yes,Yes,
5,hearsay_test_12,True,No,No,
5,hearsay_test_82,False,Yes,No,constraints
5,hearsay_test_85,False,Yes,No,constraints
5,hearsay_test_20,True,No,No,
5,hearsay_test_47,False,Yes,No,constraints
5,hearsay_test_67,True,Yes,Yes,
5,hearsay_test_22,True,No,No,
5,hearsay_test_46,True,Yes,Yes,
5,hearsay_test_3,True,No,No,
5,hearsay_test_49,True,Yes,Yes,
5,hearsay_test_84,False,No,Yes,constraints
5,hearsay_test_39,False,No,Yes,constraints
5,hearsay_test_0,False,Yes,No,constraints
5,hearsay_test_53,True,No,No,
5,hearsay_test_34,True,Yes,Yes,
