round,example_id,correct,pred,gold,section
1,gsm8k_train_2337,True,2317,"2,317",
1,gsm8k_train_688,True,45,45,
1,gsm8k_train_7319,True,2,2,
1,gsm8k_train_6499,True,5,5,
1,gsm8k_train_6679,True,15,15,
1,gsm8k_train_4222,True,9,9,
1,gsm8k_train_3588,False,10,30,task_details
1,gsm8k_train_5224,True,15,15,
1,gsm8k_train_2620,False,57,22,task_details
1,gsm8k_train_6991,True,504,504,
1,gsm8k_train_4645,True,40,40,
1,gsm8k_train_3727,False,20,44,task_details
1,gsm8k_train_1271,True,26,26,
1,gsm8k_train_6881,True,10,10,
1,gsm8k_train_2640,True,10,10,
2,gsm8k_train_2337,True,2317.00,"2,317",
2,gsm8k_train_688,True,45,45,
2,gsm8k_train_7319,True,2,2,
2,gsm8k_train_6499,True,5,5,
2,gsm8k_train_6679,True,15,15,
2,gsm8k_train_4222,True,9,9,
2,gsm8k_train_3588,False,10,30,task_details
2,gsm8k_train_5224,True,15,15,
2,gsm8k_train_2620,False,57,22,task_details
2,gsm8k_train_6991,True,504,504,
2,gsm8k_train_4645,True,40,40,
2,gsm8k_train_3727,True,44,44,
2,gsm8k_train_1271,True,26,26,
2,gsm8k_train_6881,True,10,10,
2,gsm8k_train_2640,True,10,10,
3,gsm8k_train_2337,True,2317.00,"2,317",
3,gsm8k_train_688,True,45,45,
3,gsm8k_train_7319,True,2,2,
3,gsm8k_train_6499,True,5,5,
3,gsm8k_train_6679,True,15,15,
3,gsm8k_train_4222,True,9,9,
3,gsm8k_train_3588,False,10,30,task_details
3,gsm8k_train_5224,True,15,15,
3,gsm8k_train_2620,False,57,22,task_details
3,gsm8k_train_6991,True,504,504,
3,gsm8k_train_4645,True,40,40,
3,gsm8k_train_3727,True,44,44,
3,gsm8k_train_1271,True,26,26,
3,gsm8k_train_6881,True,10,10,
3,gsm8k_train_2640,True,10,10,
