role,model,prompt_tokens,completion_tokens,cost_usd,purpose
solver,gpt-4o-mini-2024-07-18,145,19,3.315e-05,eval
solver,gpt-4o-mini-2024-07-18,220,90,8.7e-05,eval
solver,gpt-4o-mini-2024-07-18,218,83,8.25e-05,eval
solver,gpt-4o-mini-2024-07-18,284,126,0.00011819999999999999,eval
external,gpt-4.1-2025-04-14,127,101,0.001062,eval
external,gpt-4.1-2025-04-14,120,168,0.001584,eval
external,gpt-4.1-2025-04-14,163,168,0.00167,eval
solver,gpt-4o-mini-2024-07-18,415,91,0.00011685,eval
solver,gpt-4o-mini-2024-07-18,472,155,0.00016380000000000002,eval
solver,gpt-4o-mini-2024-07-18,581,143,0.00017294999999999998,eval
external,gpt-4.1-2025-04-14,56,348,0.002896,eval
solver,gpt-4o-mini-2024-07-18,516,352,0.00028859999999999997,eval
judge,gpt-5-2025-08-07,577,564,0.00636125,eval:judge
judge,gpt-5-2025-08-07,392,1207,0.01256,eval:judge
judge,gpt-5-2025-08-07,427,848,0.00901375,eval:judge
solver,gpt-4o-mini-2024-07-18,426,199,0.00018329999999999998,eval
solver,gpt-4o-mini-2024-07-18,3273,11,0.00049755,eval
solver,gpt-4o-mini-2024-07-18,470,145,0.0001575,eval
external,gpt-4.1-2025-04-14,48,29,0.000328,eval
judge,gpt-5-2025-08-07,865,592,0.00700125,eval:judge
solver,gpt-4o-mini-2024-07-18,3316,29,0.0005147999999999999,eval
solver,gpt-4o-mini-2024-07-18,144,26,3.7199999999999996e-05,eval
external,gpt-4.1-2025-04-14,236,280,0.002712,eval
external,gpt-4.1-2025-04-14,63,211,0.001814,eval
solver,gpt-4o-mini-2024-07-18,908,277,0.0003024,eval
external,gpt-4.1-2025-04-14,182,1148,0.009548,eval
judge,gpt-5-2025-08-07,4011,366,0.00867375,eval:judge
solver,gpt-4o-mini-2024-07-18,384,204,0.00018,eval
solver,gpt-4o-mini-2024-07-18,157,22,3.675e-05,eval
judge,gpt-5-2025-08-07,871,208,0.00316875,eval:judge
external,gpt-4.1-2025-04-14,59,86,0.000806,eval
solver,gpt-4o-mini-2024-07-18,1323,78,0.00024525,eval
solver,gpt-4o-mini-2024-07-18,269,22,5.3549999999999994e-05,eval
solver,gpt-4o-mini-2024-07-18,1766,518,0.0005757000000000001,eval
judge,gpt-5-2025-08-07,993,562,0.00686125,eval:judge
solver,gpt-4o-mini-2024-07-18,172,44,5.22e-05,eval
judge,gpt-5-2025-08-07,197,464,0.00488625,eval:judge
solver,gpt-4o-mini-2024-07-18,398,231,0.0001983,eval
external,gpt-4.1-2025-04-14,115,727,0.006046,eval
judge,gpt-5-2025-08-07,1080,738,0.00873,eval:judge
external,gpt-4.1-2025-04-14,81,328,0.002786,eval
solver,gpt-4o-mini-2024-07-18,254,87,9.03e-05,eval
external,gpt-4.1-2025-04-14,268,360,0.003416,eval
solver,gpt-4o-mini-2024-07-18,548,326,0.00027780000000000003,eval
external,gpt-4.1-2025-04-14,124,401,0.003456,eval
solver,gpt-4o-mini-2024-07-18,993,374,0.00037335000000000005,eval
solver,gpt-4o-mini-2024-07-18,2132,843,0.0008255999999999999,eval
judge,gpt-5-2025-08-07,682,400,0.0048525,eval:judge
solver,gpt-4o-mini-2024-07-18,746,446,0.00037949999999999995,eval
solver,gpt-4o-mini-2024-07-18,595,334,0.00028964999999999997,eval
judge,gpt-5-2025-08-07,2524,528,0.008435,eval:judge
judge,gpt-5-2025-08-07,1028,1073,0.012015,eval:judge
solver,gpt-4o-mini-2024-07-18,798,173,0.0002235,eval
external,gpt-4.1-2025-04-14,371,159,0.002014,eval
solver,gpt-4o-mini-2024-07-18,3353,170,0.00060495,eval
external,gpt-4.1-2025-04-14,207,137,0.00151,eval
solver,gpt-4o-mini-2024-07-18,1091,327,0.00035985000000000005,eval
judge,gpt-5-2025-08-07,1194,976,0.0112525,eval:judge
solver,gpt-4o-mini-2024-07-18,3663,135,0.00063045,eval
solver,gpt-4o-mini-2024-07-18,161,33,4.3950000000000004e-05,eval
judge,gpt-5-2025-08-07,1437,592,0.00771625,eval:judge
external,gpt-4.1-2025-04-14,210,1126,0.009428,eval
judge,gpt-5-2025-08-07,3643,784,0.01239375,eval:judge
solver,gpt-4o-mini-2024-07-18,1803,270,0.00043244999999999997,eval
external,gpt-4.1-2025-04-14,70,546,0.004508,eval
solver,gpt-4o-mini-2024-07-18,8329,94,0.00130575,eval
external,gpt-4.1-2025-04-14,307,1295,0.010974,eval
solver,gpt-4o-mini-2024-07-18,743,531,0.00043004999999999996,eval
solver,gpt-4o-mini-2024-07-18,2100,1060,0.000951,eval
external,gpt-4.1-2025-04-14,131,707,0.005918,eval
solver,gpt-4o-mini-2024-07-18,3371,1288,0.0012784499999999998,eval
judge,gpt-5-2025-08-07,1063,957,0.01089875,eval:judge
solver,gpt-4o-mini-2024-07-18,9134,735,0.0018111,eval
solver,gpt-4o-mini-2024-07-18,135,11,2.6850000000000002e-05,eval
external,gpt-4.1-2025-04-14,48,39,0.000408,eval
judge,gpt-5-2025-08-07,2458,1566,0.0187325,eval:judge
solver,gpt-4o-mini-2024-07-18,189,40,5.234999999999999e-05,eval
solver,gpt-4o-mini-2024-07-18,141,16,3.075e-05,eval
judge,gpt-5-2025-08-07,3402,830,0.0125525,eval:judge
external,gpt-4.1-2025-04-14,53,154,0.001338,eval
judge,gpt-5-2025-08-07,237,282,0.00311625,eval:judge
solver,gpt-4o-mini-2024-07-18,426,201,0.0001845,eval
solver,gpt-4o-mini-2024-07-18,315,151,0.00013785,eval
solver,gpt-4o-mini-2024-07-18,158,29,4.1099999999999996e-05,eval
external,gpt-4.1-2025-04-14,238,292,0.002812,eval
external,gpt-4.1-2025-04-14,66,383,0.003196,eval
judge,gpt-5-2025-08-07,9058,1166,0.0229825,eval:judge
solver,gpt-4o-mini-2024-07-18,922,287,0.0003105,eval
solver,gpt-4o-mini-2024-07-18,157,38,4.635e-05,eval
judge,gpt-5-2025-08-07,661,693,0.00775625,eval:judge
solver,gpt-4o-mini-2024-07-18,573,229,0.00022335000000000004,eval
solver,gpt-4o-mini-2024-07-18,154,32,4.23e-05,eval
external,gpt-4.1-2025-04-14,75,295,0.00251,eval
judge,gpt-5-2025-08-07,881,759,0.00869125,eval:judge
solver,gpt-4o-mini-2024-07-18,494,268,0.0002349,eval
judge,gpt-5-2025-08-07,639,528,0.00607875,eval:judge
solver,gpt-4o-mini-2024-07-18,162,37,4.65e-05,eval
solver,gpt-4o-mini-2024-07-18,296,171,0.000147,eval
external,gpt-4.1-2025-04-14,74,128,0.001172,eval
external,gpt-4.1-2025-04-14,69,694,0.00569,eval
solver,gpt-4o-mini-2024-07-18,330,61,8.609999999999999e-05,eval
external,gpt-4.1-2025-04-14,208,539,0.004728,eval
judge,gpt-5-2025-08-07,830,831,0.0093475,eval:judge
solver,gpt-4o-mini-2024-07-18,141,13,2.895e-05,eval
solver,gpt-4o-mini-2024-07-18,1009,508,0.00045615,eval
solver,gpt-4o-mini-2024-07-18,884,770,0.0005946,eval
judge,gpt-5-2025-08-07,971,80,0.00201375,eval:judge
