role,model,prompt_tokens,completion_tokens,cost_usd,purpose
solver,gpt-4.1-2025-04-14,137,669,0.005626,eval
solver,gpt-4.1-2025-04-14,178,1073,0.00894,eval
solver,gpt-4.1-2025-04-14,189,1652,0.013594,eval
solver,gpt-4.1-2025-04-14,318,1842,0.015372,eval
solver,gpt-4.1-2025-04-14,311,4096,0.03339,eval
solver,gpt-4.1-2025-04-14,295,4096,0.033358,eval
solver,gpt-4.1-2025-04-14,346,2090,0.017412,eval
solver,gpt-4.1-2025-04-14,207,4096,0.033182,eval
solver,gpt-4.1-2025-04-14,234,3669,0.02982,eval
solver,gpt-4.1-2025-04-14,161,4096,0.03309,eval
solver,gpt-4.1-2025-04-14,129,537,0.004554,eval
solver,gpt-4.1-2025-04-14,177,4096,0.033122,eval
solver,gpt-4.1-2025-04-14,197,3661,0.029682,eval
solver,gpt-4.1-2025-04-14,311,1158,0.009886,eval
solver,gpt-4.1-2025-04-14,175,1283,0.010614,eval
solver,gpt-4.1-2025-04-14,186,1682,0.013828,eval
solver,gpt-4.1-2025-04-14,342,4096,0.033452,eval
solver,gpt-4.1-2025-04-14,194,1040,0.008708,eval
solver,gpt-4.1-2025-04-14,219,1846,0.015206,eval
solver,gpt-4.1-2025-04-14,208,1103,0.00924,eval
solver,gpt-4.1-2025-04-14,191,3810,0.030862,eval
solver,gpt-4.1-2025-04-14,150,1395,0.01146,eval
solver,gpt-4.1-2025-04-14,166,2333,0.018996,eval
solver,gpt-4.1-2025-04-14,162,4096,0.033092,eval
solver,gpt-4.1-2025-04-14,276,2565,0.021072,eval
solver,gpt-4.1-2025-04-14,196,4096,0.03316,eval
solver,gpt-4.1-2025-04-14,221,4096,0.03321,eval
solver,gpt-4.1-2025-04-14,150,2437,0.019796,eval
solver,gpt-4.1-2025-04-14,167,2727,0.02215,eval
solver,gpt-4.1-2025-04-14,222,4096,0.033212,eval
solver,gpt-4.1-2025-04-14,272,2215,0.018264,reflect:baseline
solver,gpt-4.1-2025-04-14,324,3361,0.027536,reflect:baseline
solver,gpt-4.1-2025-04-14,265,3321,0.027098,reflect:baseline
solver,gpt-4.1-2025-04-14,164,2031,0.016576,reflect:baseline
solver,gpt-4.1-2025-04-14,473,4096,0.033714,reflect:baseline
solver,gpt-4.1-2025-04-14,137,653,0.005498,reflect:baseline
solver,gpt-4.1-2025-04-14,155,1385,0.01139,reflect:baseline
solver,gpt-4.1-2025-04-14,191,1546,0.01275,reflect:baseline
solver,gpt-4.1-2025-04-14,243,4096,0.033254,reflect:baseline
solver,gpt-4.1-2025-04-14,230,4096,0.033228,reflect:baseline
solver,gpt-4.1-2025-04-14,205,4096,0.033178,reflect:baseline
solver,gpt-4.1-2025-04-14,230,1025,0.00866,reflect:baseline
solver,gpt-4.1-2025-04-14,168,1395,0.011496,reflect:baseline
solver,gpt-4.1-2025-04-14,250,4096,0.033268,reflect:baseline
solver,gpt-4.1-2025-04-14,159,3336,0.027006,reflect:baseline
solver,gpt-4.1-2025-04-14,163,4096,0.033094,reflect:baseline
solver,gpt-4.1-2025-04-14,175,2631,0.021398,reflect:baseline
solver,gpt-4.1-2025-04-14,169,4096,0.033106,reflect:baseline
solver,gpt-4.1-2025-04-14,231,4096,0.03323,reflect:baseline
solver,gpt-4.1-2025-04-14,317,4096,0.033402,reflect:baseline
solver,gpt-4.1-2025-04-14,153,867,0.007242,reflect:baseline
solver,gpt-4.1-2025-04-14,184,1082,0.009024,reflect:baseline
solver,gpt-4.1-2025-04-14,405,3665,0.03013,reflect:baseline
solver,gpt-4.1-2025-04-14,168,4096,0.033104,reflect:baseline
solver,gpt-4.1-2025-04-14,260,2456,0.020168,reflect:baseline
solver,gpt-4.1-2025-04-14,165,2148,0.017514,reflect:baseline
solver,gpt-4.1-2025-04-14,154,2441,0.019836,reflect:baseline
solver,gpt-4.1-2025-04-14,193,3474,0.028178,reflect:baseline
solver,gpt-4.1-2025-04-14,289,902,0.007794,reflect:baseline
solver,gpt-4.1-2025-04-14,257,1313,0.011018,reflect:baseline
solver,gpt-4.1-2025-04-14,255,3597,0.029286,reflect:baseline
solver,gpt-4.1-2025-04-14,176,3182,0.025808,reflect:baseline
solver,gpt-4.1-2025-04-14,142,1132,0.00934,reflect:baseline
solver,gpt-4.1-2025-04-14,196,4096,0.03316,reflect:baseline
solver,gpt-4.1-2025-04-14,181,4096,0.03313,reflect:baseline
solver,gpt-4.1-2025-04-14,155,4096,0.033078,reflect:baseline
solver,gpt-4.1-2025-04-14,194,524,0.00458,reflect:baseline
solver,gpt-4.1-2025-04-14,172,4096,0.033112,reflect:baseline
solver,gpt-4.1-2025-04-14,181,3944,0.031914,reflect:baseline
solver,gpt-4.1-2025-04-14,252,3237,0.0264,reflect:baseline
