round,example_id,correct,pred,gold,section
1,hearsay_test_58,True,Yes,Yes,
1,hearsay_test_69,False,No,Yes,constraints
1,hearsay_test_19,False,Yes,No,context
1,hearsay_test_20,True,No,No,
1,hearsay_test_91,False,Yes,No,context
1,hearsay_test_50,True,Yes,Yes,
1,hearsay_test_81,True,No,No,
1,hearsay_train_4,False,No,Yes,constraints
1,hearsay_test_51,True,Yes,Yes,
1,hearsay_test_4,True,No,No,
1,hearsay_train_3,True,No,No,
1,hearsay_test_25,False,Yes,No,context
1,hearsay_test_30,True,No,No,
1,hearsay_test_92,True,No,No,
1,hearsay_test_74,True,No,No,
1,hearsay_test_16,True,No,No,
1,hearsay_test_23,False,Yes,No,constraints
1,hearsay_test_24,True,No,No,
1,hearsay_test_53,True,No,No,
1,hearsay_test_42,True,Yes,Yes,
1,hearsay_test_89,True,No,No,
1,hearsay_test_44,False,No,Yes,constraints
1,hearsay_train_0,True,No,No,
1,hearsay_test_5,True,No,No,
1,hearsay_test_93,True,Yes,Yes,
2,hearsay_test_58,True,Yes,Yes,
2,hearsay_test_69,False,No,Yes,constraints
2,hearsay_test_19,False,Yes,No,context
2,hearsay_test_20,True,No,No,
2,hearsay_test_91,False,Yes,No,context
2,hearsay_test_50,True,Yes,Yes,
2,hearsay_test_81,True,No,No,
2,hearsay_train_4,False,No,Yes,constraints
2,hearsay_test_51,True,Yes,Yes,
2,hearsay_test_4,True,No,No,
2,hearsay_train_3,True,No,No,
2,hearsay_test_25,False,Yes,No,context
2,hearsay_test_30,True,No,No,
2,hearsay_test_92,True,No,No,
2,hearsay_test_74,True,No,No,
2,hearsay_test_16,True,No,No,
2,hearsay_test_23,False,Yes,No,context
2,hearsay_test_24,True,No,No,
2,hearsay_test_53,True,No,No,
2,hearsay_test_42,True,Yes,Yes,
2,hearsay_test_89,True,No,No,
2,hearsay_test_44,True,Yes,Yes,
2,hearsay_train_0,True,No,No,
2,hearsay_test_5,True,No,No,
2,hearsay_test_93,True,Yes,Yes,
3,hearsay_test_58,True,Yes,Yes,
3,hearsay_test_69,False,No,Yes,constraints
3,hearsay_test_19,False,Yes,No,context
3,hearsay_test_20,True,No,No,
3,hearsay_test_91,False,Yes,No,context
3,hearsay_test_50,True,Yes,Yes,
3,hearsay_test_81,True,No,No,
3,hearsay_train_4,False,No,Yes,constraints
3,hearsay_test_51,True,Yes,Yes,
3,hearsay_test_4,True,No,No,
3,hearsay_train_3,True,No,No,
3,hearsay_test_25,False,Yes,No,context
3,hearsay_test_30,True,No,No,
3,hearsay_test_92,True,No,No,
3,hearsay_test_74,True,No,No,
3,hearsay_test_16,True,No,No,
3,hearsay_test_23,False,Yes,No,constraints
3,hearsay_test_24,True,No,No,
3,hearsay_test_53,True,No,No,
3,hearsay_test_42,True,Yes,Yes,
3,hearsay_test_89,True,No,No,
3,hearsay_test_44,False,No,Yes,constraints
3,hearsay_train_0,True,No,No,
3,hearsay_test_5,True,No,No,
3,hearsay_test_93,True,Yes,Yes,
4,hearsay_test_58,True,Yes,Yes,
4,hearsay_test_69,True,Yes,Yes,
4,hearsay_test_19,False,Yes,No,context
4,hearsay_test_20,True,No,No,
4,hearsay_test_91,False,Yes,No,context
4,hearsay_test_50,True,Yes,Yes,
4,hearsay_test_81,False,Yes,No,context
4,hearsay_train_4,True,Yes,Yes,
4,hearsay_test_51,True,Yes,Yes,
4,hearsay_test_4,True,No,No,
4,hearsay_train_3,True,No,No,
4,hearsay_test_25,True,No,No,
4,hearsay_test_30,True,No,No,
4,hearsay_test_92,True,No,No,
4,hearsay_test_74,False,Yes,No,context
4,hearsay_test_16,True,No,No,
4,hearsay_test_23,False,Yes,No,context
4,hearsay_test_24,False,Yes,No,context
4,hearsay_test_53,True,No,No,
4,hearsay_test_42,True,Yes,Yes,
4,hearsay_test_89,True,No,No,
4,hearsay_test_44,True,Yes,Yes,
4,hearsay_train_0,False,Yes,No,context
4,hearsay_test_5,True,No,No,
4,hearsay_test_93,True,Yes,Yes,
5,hearsay_test_58,True,Yes,Yes,
5,hearsay_test_69,True,Yes,Yes,
5,hearsay_test_19,True,No,No,
5,hearsay_test_20,True,No,No,
5,hearsay_test_91,False,Yes,No,context
5,hearsay_test_50,True,Yes,Yes,
5,hearsay_test_81,False,Yes,No,context
5,hearsay_train_4,True,Yes,Yes,
5,hearsay_test_51,True,Yes,Yes,
5,hearsay_test_4,True,No,No,
5,hearsay_train_3,True,No,No,
5,hearsay_test_25,True,No,No,
5,hearsay_test_30,False,Yes,No,context
5,hearsay_test_92,True,No,No,
5,hearsay_test_74,False,Yes,No,context
5,hearsay_test_16,True,No,No,
5,hearsay_test_23,False,Yes,No,context
5,hearsay_test_24,False,Yes,No,context
5,hearsay_test_53,True,No,No,
5,hearsay_test_42,True,Yes,Yes,
5,hearsay_test_89,True,No,No,
5,hearsay_test_44,True,Yes,Yes,
5,hearsay_train_0,False,Yes,No,context
5,hearsay_test_5,True,No,No,
5,hearsay_test_93,True,Yes,Yes,
